School,Mascot,Arena,Hex,Hex2,Lat,Lon,Furthest_Round,Capacity,Avg_Attendance
Cincinnati,Bearcats,Fifth Third Arena,#000000,#e00122,39.1311,-84.5141,362,12012,9852
California,Golden Bears,Haas Pavilion,#041e42,#ffc72c,37.8694,-122.2622,362,11858,4210
Wyoming,Cowboys,Arena-Auditorium,#492f24,#ffc425,41.3133,-105.5693,362,11612,3749
Weber State,Wildcats,Dee Events Center,#18005a,#ebebeb,41.1824,-111.945,362,11592,2619
Nevada,Wolf Pack,Lawlor Events Center,#041e42,#8a8d8f,39.5451,-119.8183,362,11536,8133
Oklahoma,Sooners,Lloyd Noble Center,#990000,#ffffff,35.187,-97.4443,362,11528,6301
Middle Tennessee,Blue Raiders,Murphy Center,#036eb7,#ffffff,35.8524,-86.3695,362,11520,3682
Ball State,Cardinals,Worthen Arena,#ba0c2f,#ffffff,40.2071,-85.4062,362,11500,2797
Bradley,Braves,Carver Arena,#b70002,#c0c0c0,40.6919,-89.5936,362,11433,5605
William & Mary,Tribe,Kaplan Arena,#115740,#f0b323,37.2735,-76.7197,362,11300,3723
Northern Arizona,Lumberjacks,Walkup Skydome,#003976,#1b3069,35.1806,-111.6529,362,11230,589
Colorado,Buffaloes,CU Events Center,#cfb87c,#000000,40.0047,-105.2606,362,11064,6207
Missouri State,Bears,Great Southern Bank Arena,#5e0009,#ffffff,37.2017,-93.2808,362,11000,1988
Kansas State,Wildcats,Bramlage Coliseum,#330a57,#e2e3e4,39.2003,-96.5938,362,11000,7827
Chattanooga,Mocs,McKenzie Arena,#00386b,#dca71d,35.0504,-85.3009,362,10995,3518
Milwaukee,Panthers,UW–Milwaukee Panther Arena,#000000,#ffc20e,43.0423,-87.917,362,10783,2037
Texas,Longhorns,Moody Center,#af5c37,#ffffff,30.2809,-97.7307,362,10763,10835
Miami (Ohio),RedHawks,Millett Hall,#c41230,#ffffff,39.5172,-84.7346,362,10640,4685
Saint Louis,Billikens,Chaifetz Arena,#00539C,#ebebeb,38.6325,-90.2282,362,10600,6900
Mississippi State,Bulldogs,Humphrey Coliseum,#5d1725,#c1c6c8,33.4387,-88.7943,362,10575,7593
Georgia,Bulldogs,Stegeman Coliseum,#ba0c2f,#2c2a29,33.9428,-83.3781,362,10523,8821
Wichita State,Shockers,Charles Koch Arena,#ffcd00,#27251f,37.7218,-97.2974,362,10506,5892
Florida,Gators,Exactech Arena at the Stephen C. O'Connell Center,#0021a5,#fa4616,29.6412,-82.3562,362,10500,10525
South Florida,Bulls,Yuengling Center,#006747,#cfc493,28.0592,-82.4066,362,10411,1451
DePaul,Blue Demons,Wintrust Arena,#2d649c,#ce1125,41.8537,-87.6214,362,10387,4589
Hawaii,,Stan Sheriff Center,#005737,#000000,21.2943,-157.8189,362,10300,5045
Utah State,Aggies,Smith Spectrum,#0f2439,#ffffff,41.7476,-111.8121,362,10270,9682
USC,Spartans,Galen Center,#9d2235,#ffc72c,34.0208,-118.2798,362,10258,5538
Xavier,Musketeers,Cintas Center,#21304e,#a5a7a8,39.1504,-84.4718,362,10250,9681
Temple,Owls,Liacouras Center,#a41e35,#ffffff,39.9798,-75.1586,362,10206,2873
Indiana State,Sycamores,Hulman Center,#00669a,#f0f0f0,39.4685,-87.4051,362,10200,4569
Illinois State,Redbirds,CEFCU Arena,#CE1126,#ffe716,40.5107,-88.9988,362,10200,4489
UConn,Huskies,Harry A. Gampel Pavilion,#0c2340,#a2aaad,41.8053,-72.2544,362,10167,12718
Oral Roberts,Golden Eagles,Mabee Center,#002462,#dac792,36.0481,-95.9557,362,10154,3294
Lamar,Cardinals,Neches Federal Credit Union Arena at the Montagne Center,#000000,#ebebeb,30.0389,-94.0759,362,10080,2092
Virginia Tech,Hokies,Cassell Coliseum,#6a2c3e,#cf4520,37.2225,-80.4189,362,10052,6367
South Alabama,Jaguars,Mitchell Center,#00205b,#bf0d3e,30.6923,-88.1797,362,10041,2095
Arkansas State,Red Wolves,First National Bank Arena,#cc092f,#000000,35.8454,-90.6703,362,10038,3865
Evansville,Purple Aces,Ford Center,#663399,#ef6f00,37.9722,-87.5678,362,10000,4089
George Mason,Patriots,EagleBank Arena,#016600,#ecb010,38.8313,-77.308,362,10000,4056
