School,Mascot,Arena,Hex,Hex2,Lat,Lon,Furthest_Round,Capacity,Avg_Attendance
McNeese,Cowboys,Townsley Law Arena,#00529C,#ffd204,30.1751,-93.2113,362,4242,3266
Idaho,Vandals,Idaho Central Credit Union Arena,#000000,#8c6e4a,46.7275,-117.0182,362,4200,2021
UC San Diego,Tritons,LionTree Arena,#000000,#ffcd00,32.8795,-117.2359,362,4200,2501
Stony Brook,Seawolves,Island Federal Credit Union Arena,#990000,##990000,40.9174,-73.126,362,4160,1800
Monmouth,Hawks,OceanFirst Bank Center,#051844,##051844,40.2794,-74.0076,362,4100,1725
Tulane,Green Wave,Devlin Fieldhouse,#006747,#418fde,29.9412,-90.1201,362,4100,1310
Coppin State,Eagles,Physical Education Complex,#2e3192,#ffd204,39.3144,-76.6567,362,4100,960
UTSA,Roadrunners,Convocation Center,#0c2340,#f15a22,29.5824,-98.6215,362,4080,902
Prairie View A&M,Panthers,William J. Nicks Building,#582c83,#eaaa00,30.0961,-95.987,362,4000,791
Long Beach State,Beach,LBS Financial Credit Union Pyramid,#000000,#f1f2f3,33.7818,-118.1152,362,4000,1419
Liberty,Flames,Liberty Arena,#0a254e,#b72025,37.3493,-79.1802,362,4000,3364
Bucknell,Bison,Sojka Pavilion,#000060,#00316e,40.9589,-76.8819,362,4000,1081
Oakland,Golden Grizzlies,OU Credit Union O'rena,#04091c,#bc955c,42.6666,-83.2066,362,4000,2274
Robert Morris,Colonials,UPMC Events Center,#00214D,#a21d2b,40.5203,-80.2147,362,4000,1439
SIU Edwardsville,,Vadalabene Center,#eb1c23,#080808,38.7959,-89.9999,362,4000,1771
Cal State Fullerton,Titans,Titan Gym,#003767,#ff8300,33.8831,-117.8852,362,4000,726
Furman,Paladins,Timmons Arena,#582c83,#ffffff,34.9181,-82.4373,362,4000,2125
North Alabama,Lions,Flowers Hall,#663399,##663399,34.8084,-87.6838,362,4000,2095
Loyola Marymount,Lions,Gersten Pavilion,#880029,#00345b,33.9677,-118.4156,362,3900,788
Northwestern State,Demons,Prather Coliseum,#492F91,#ed6118,31.744,-93.0951,362,3900,546
Saint Joseph's,Hawks,Hagan Arena,#9e1b32,#6c6f70,39.9956,-75.2349,362,3800,2143
Nicholls,Colonels,Stopher Gymnasium,#C41230,#f0f0f0,29.7923,-90.8013,362,3800,671
Abilene Christian,Wildcats,Moody Coliseum,#592d82,#b1b3b3,32.4704,-99.7092,362,3600,1105
Quinnipiac,Bobcats,M&T Bank Arena,#041B43,##041B43,41.414,-72.9112,362,3570,1424
Holy Cross,Crusaders,Hart Center at the Luth Athletics Complex,#582c83,#ffffff,42.2367,-71.807,362,3536,1203
Saint Mary's,Gaels,University Credit Union Pavilion,#d80024,#003057,37.841,-122.1095,362,3500,3341
Jacksonville State,Gamecocks,Pete Mathews Coliseum,#cc0000,#000000,33.8241,-85.7735,362,3500,1295
Saint Francis (PA),Red Flash,DeGol Arena,#a20012,#000000,40.5047,-78.6411,362,3500,663
North Carolina Central,Eagles,McDougald–McLendon Arena,#880023,#c2c3c0,35.9732,-78.8976,362,3500,1429
Fairfield,Stags,Leo D. Mahoney Arena,#000000,#ebebeb,41.1597,-73.2574,362,3500,2016
Mercer,Bears,Hawkins Arena,#ff7f29,#080808,32.829,-83.6518,362,3500,1013
Gardner–Webb,Runnin' Bulldogs,Paul Porter Arena,#c12535,#909090,35.2478,-81.6702,362,3500,611
NJIT,Highlanders,Wellness and Events Center,#EE3024,#df3e2e,40.7423,-74.1804,362,3500,599
Duquesne,Dukes,UPMC Cooper Fieldhouse,#002D62,#b90b2e,40.4381,-79.9897,362,3500,2260
Mount St. Mary's,Mountaineers,Knott Arena,#005596,#ebebeb,39.6806,-77.3466,362,3500,2092
Cal State Bakersfield,,Icardo Center,#003BAB,##003BAB,35.3476,-119.1026,362,3497,430
Wofford,Terriers,Jerry Richardson Indoor Stadium,#533B22,#f0f0f0,34.9632,-81.9329,362,3400,1465
North Dakota,Fighting Hawks,Betty Engelstad Sioux Center,#00A26B,#c2c3c0,47.9276,-97.0733,362,3300,1754
Lindenwood,Lions and Lady Lions,Robert F. Hyland Performance Arena,#b5a36a,#000000,38.7875,-90.5031,362,3270,995
Vermont,Catamounts,Patrick Gym,#154734,#ffc72c,44.4737,-73.1941,362,3228,2114
Coastal Carolina,Chanticleers,HTC Center,#006f71,#a27752,33.7991,-79.0156,362,3212,1931
Radford,Highlanders,Dedmon Center,#BC1515,#c2c3c0,37.1385,-80.5417,362,3205,1210
Marist,Red Foxes,McCann Arena,#e53730,#f0f0f0,41.722,-73.9344,362,3200,1626
South Carolina State,Bulldogs,SHM Memorial Center,#7d1315,#104897,33.4988,-80.8468,362,3200,325
Saint Peter's,Peacocks,Run Baby Run Arena,#004CC2,##004CC2,40.7276,-74.0722,362,3200,595
Fordham,Rams,Rose Hill Gymnasium,#830032,#909090,40.8622,-73.8839,362,3200,1257
UNC Asheville,Bulldogs,Kimmel Arena,#003da5,#ffffff,35.618,-82.5688,362,3200,993
UC Riverside,Highlanders,UC Riverside Student Recreation Center,#14234F,##14234F,33.9643,-117.3398,362,3168,390
Florida Atlantic,Owls,FAU Arena,#003366,#cc0000,26.3743,-80.1027,362,3161,3161
Pepperdine,Waves,Firestone Fieldhouse,#003A72,#dc762f,34.0385,-118.7097,362,3104,671
Campbell,Fighting Camels,"John W. Pope, Jr. Convocation Center",#000000,##000000,35.4081,-78.7392,362,3095,1528
Portland State,Vikings,Viking Pavilion,#00311e,#ebebeb,45.511,-122.6868,362,3094,1116
East Texas A&M,Lions,The Field House,#000000,##000000,33.24,-95.9183,362,3055,552
Cal Poly,Mustangs,Robert A. Mott Athletics Center,#1E4D2B,#eed897,35.3001,-120.6592,362,3032,1886
San Francisco,Dons,The Sobrato Center,#005a36,#ffffff,37.7245,-122.48,362,3005,1937
La Salle,Explorers,John Glaser Arena,#003356,#ffce00,39.9535,-75.1848,362,3000,1562
Bethune-Cookman,,Moore Gymnasium,#7b1831,#e9aa12,29.2119,-81.032,362,3000,816
Longwood,Lancers,Joan Perry Brock Center,#003273,#9ea2a3,37.309,-78.4017,362,3000,1979
New Hampshire,Wildcats,Lundholm Gym,#004990,#c3c4c6,43.1351,-70.9462,362,3000,415
Northern Colorado,Bears,Bank of Colorado Arena,#13558D,#ffc533,40.4029,-104.7017,362,2992,1516
Brown,Bears,Pizzitola Sports Center,#411e09,#949300,41.8186,-71.4088,362,2800,524
Howard,Bison,Burr Gymnasium,#003a63,#e51937,38.9263,-77.0222,362,2700,1411
Bryant,Bulldogs,Chace Athletic Center,#000000,#9f8343,41.9221,-71.5372,362,2700,485
Central Connecticut,Blue Devils,William H. Detrick Gymnasium,#1B49A2,#d1d5d8,41.6929,-72.7654,362,2654,1126
Iona,Gaels,Hynes Athletic Center,#6f2c3e,#f0ab00,40.9261,-73.7858,362,2578,1929
Yale,Bulldogs,John J. Lee Amphitheater,#004a81,#286dc0,41.3136,-72.9232,362,2532,1289
Drexel,Dragons,Daskalakis Athletic Center,#020260,#ffd65a,39.9569,-75.1899,362,2509,1172
Columbia,Lions,Levien Gymnasium,#7ba4db,#183863,40.8078,-73.9625,362,2500,1244
LIU,Sharks,Steinberg Wellness Center,#69b3e7,#f2c75c,40.6906,-73.9793,362,2500,561
Cal State Northridge,Matadors,Premier America Credit Union Arena,#b50000,##b50000,34.2455,-118.5263,362,2500,806
UTRGV,Vaqueros,UTRGV Fieldhouse,#dc6000,#e1732d,26.3092,-98.2023,362,2500,1286
Queens,Royals,Curry Arena,#00205b,#c4b581,35.1888,-80.8333,362,2500,505
Denver,Pioneers,Hamilton Gymnasium,#98002e,#a8996e,39.6824,-104.9624,362,2500,1020
Lafayette,Leopards,Kirby Sports Center,#790000,#a59474,40.7017,-75.2098,362,2453,1197
Niagara,Purple Eagles,Gallagher Center,#69207E,#f0f0f0,43.1371,-79.0381,362,2400,862
Manhattan,Jaspers,Draddy Gymnasium,#4f8537,#b5b7ba,40.8907,-73.9003,362,2345,866
Presbyterian,Blue Hose,Templeton Physical Education Center,#194896,#990134,34.4628,-81.8672,362,2300,499
Purdue Fort Wayne,Mastodons,Hilliard Gates Sports Center,#cfb991,#000000,41.1211,-85.1058,362,2300,1629
Canisius,Golden Griffins,Koessler Athletic Center,#004a81,#dda50f,42.9209,-78.8576,362,2196,744
Bellarmine,Knights,Knights Hall,#000000,##000000,38.2216,-85.7052,362,2196,1449
Harvard,Crimson,Lavietes Pavilion,#990000,#dbdbdb,42.366,-71.1215,362,2195,1249
Wagner,Seahawks,Spiro Sports Center,#00483A,#ffffff,40.615,-74.0958,362,2100,606
Dartmouth,Big Green,Leede Arena,#005730,#000000,43.7024,-72.2892,362,2100,939
Loyola (Maryland),Greyhounds,Reitz Arena,#76a7a0,#c9cbca,39.3484,-76.6159,362,2100,788
Sacred Heart,Pioneers,William H. Pitt Center,#a40012,#c29472,41.2226,-73.2445,362,2062,942
Le Moyne,,Le Moyne Events Center,#000000,##000000,43.0387,-76.073,362,2000,560
Incarnate Word,Cardinals,McDermott Center,#000000,#080808,29.4681,-98.4693,362,2000,216
Fairleigh Dickinson,Knights,Bogota Savings Bank Center,#72293c,#28334a,40.8981,-74.0307,362,1862,469
Boston University,Terriers,Case Gym,#cc0000,#ffffff,42.3504,-71.1032,362,1800,867
Delaware State,Hornets,Memorial Hall,#009cdb,#d51c28,39.1873,-75.5428,362,1800,392
Colgate,Raiders,Cotterell Court,#821019,#ffffff,42.8154,-75.5396,362,1750,703
Rider,Broncs,Alumni Gymnasium,#a80532,#ebebeb,40.301,-74.7374,362,1650,1091
Stonehill,Skyhawks,Merkert Gymnasium,#000000,##000000,42.0575,-71.0789,362,1560,324
Kansas City,Roos,Swinney Recreation Center,#004b87,#ffc72c,39.0355,-94.5788,362,1500,702
Jacksonville,Dolphins,Swisher Gymnasium,#00523e,##00523e,30.3503,-81.605,362,1360,709
IU Indy,Jaguars,The Jungle,#A81F30,#d59f0f,39.7748,-86.177,362,1215,1059
Merrimack,Warriors,Hammel Court,#2f4f93,#e8c535,42.703,-71.1309,362,1200,1673
Mercyhurst,,Mercyhurst Athletic Center,#000000,##000000,42.1039,-80.0559,362,1100,555
Sacramento State,Hornets,Hornets Nest,#00573C,#cdb97d,38.622,-121.5193,362,1012,2758
Houston Christian,Huskies,Sharp Gymnasium,#00539c,##00539c,29.7208,-95.3441,362,1000,707
Seattle,Redhawks,Redhawk Center,#BF2E1A,#c2c3c0,47.6073,-122.3135,362,999,1768
Charleston Southern,Buccaneers,Buccaneer Field House,#2e3192,#ded090,32.9808,-80.0671,362,881,763
USC Upstate,Spartans,G. B. Hodge Center,#008545,#000000,34.9526,-81.9307,362,878,369
