Rank,Institution,Conference,Accum Attendance,Avg Attendance,Stadium Capacity,Pct Capacity,Games
101,New Mexico St.,CUSA,"78,394","5,226","12,200",42.84,15
102,Miami (OH),MAC,"74,954","4,685","6,400",73.2,16
103,Col. of Charleston,CAA,"74,167","4,944","5,100",96.95,15
104,Illinois St.,MVC,"71,817","4,489","9,600",46.76,16
105,High Point,Big South,"71,029","3,946","4,500",87.69,18
106,Stanford,ACC,"70,177","3,899","7,233",53.9,18
107,Boston College,ACC,"70,067","4,122","8,606",47.89,17
108,South Fla.,American,"69,928","4,662","10,411",44.78,15
109,Indiana St.,MVC,"68,533","4,569","9,000",50.77,15
110,Marshall,Sun Belt,"67,900","3,994","9,043",44.17,17
111,Old Dominion,Sun Belt,"67,625","5,202","8,457",61.51,13
112,Wyoming,Mountain West,"67,483","3,749","11,445",32.76,18
113,Siena,MAAC,"66,935","5,149","6,897",74.65,13
114,Toledo,MAC,"66,711","4,447","7,014",63.41,15
115,Ohio,MAC,"66,698","4,169","13,080",31.87,16
116,UNI,MVC,"64,252","3,780","6,650",56.84,17
117,UTEP,CUSA,"63,095","3,943","11,892",33.16,16
118,UAB,American,"62,216","3,660","8,500",43.06,17
119,Rhode Island,Atlantic 10,"61,586","3,849","7,657",50.27,16
120,Evansville,MVC,"61,334","4,089","10,000",40.89,15
121,Tulsa,American,"59,167","3,287","8,355",39.34,18
122,North Texas,American,"58,613","3,448","10,500",32.84,17
123,Drake,MVC,"58,299","3,429","7,152",47.95,17
124,Arkansas St.,Sun Belt,"57,981","3,865","10,563",36.59,15
125,St. Bonaventure,Atlantic 10,"57,356","3,585","4,850",73.91,16
126,East Carolina,American,"57,204","3,365","7,100",47.39,17
127,Wright St.,Horizon,"56,985","3,562","8,000",44.52,16
128,Saint Mary's (CA),WCC,"56,794","3,341","3,500",95.45,17
129,Southern Ill.,MVC,"55,756","3,983","8,284",48.08,14
130,Middle Tenn.,CUSA,"55,235","3,682","11,520",31.96,15
131,ETSU,SoCon,"54,787","3,223","6,500",49.58,17
